,movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,fecha_ingreso_invalida,fecha_egreso_invalida,hora_ingreso_invalida,hora_egreso_invalida,duracion_horas,exceso_velocidad_real,exceso_velocidad
count,474,474,474,453,474,474,474,474,474,474,474,447.0,474.0,474.0,459,474,474,474,474,452.0,474.0,474.0
unique,474,40,20,8,6,8,8,410,379,416,367,,,,4,2,2,2,2,,,
top,MOV-01493,B-011,ONE-PARANA,R-07,MUELLE-D,CONTENEDORES,VALPARAISO,1900-01-01,00:00,1900-01-01,00:00,,,,DESPACHADO,False,False,False,False,,,
freq,1,19,32,71,87,71,71,13,29,9,51,,,,123,461,465,445,423,,,
mean,,,,,,,,,,,,5035.174541387025,14.24198312236287,11.208860759493671,,,,,,30.468915929203533,3.0331223628691983,2.4726793248945143
std,,,,,,,,,,,,1283.7178116539399,2.0990154421425826,1.502867438835051,,,,,,652.1976898730649,1.782704064626501,1.7986715189556688
min,,,,,,,,,,,,1422.1,10.6,10.0,,,,,,-6322.266666666666,0.5999999999999996,0.05000000000000071
25%,,,,,,,,,,,,4088.69,12.8,10.0,,,,,,19.079166666666666,1.5,0.9999999999999982
50%,,,,,,,,,,,,5021.5,14.0,10.0,,,,,,38.41666666666667,2.75,2.1999999999999993
75%,,,,,,,,,,,,5981.719999999999,15.7,12.0,,,,,,55.8625,4.199999999999999,3.6749999999999994
max,,,,,,,,,,,,8552.11,20.2,15.0,,,,,,5700.816666666667,9.7,9.2
